,userid,stars,date,review_head,review,product,product_link
377,Anonymous,5,09/10/16,:),0,On Sneakers Hitops Black & White Organic Fairtrade,https://yotpo.com/go/6HBqlVxL
378,Dave,5,09/10/16,Best ethical underwear,Best and cheapest ethical underwear I have tried. The elastic lasts longer than other brands and they're plenty comfy.,On Trunks Peacock Organic Fairtrade,https://yotpo.com/go/g7PzzVMh
379,Anonymous,5,09/10/16,0,0,On Tshirt Women's Wear No Evil Black Organic Fairtrade,https://yotpo.com/go/5k4tcRsJ
380,Anonymous,5,09/01/16,First of many pairs.,Fits true to size length and width. Happy with how they look too. It's nice to know that they're fairtrade and great for the environment.,On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
381,Carrie,5,09/01/16,"Bargain price, great colour!",These shoes are awesome. Love the off-white colour.. summery without being fluorescent!! Have been wearing them from the moment they arrived. :-),On Sneakers Lowcuts White Discoloured Organic Fairtrade,https://yotpo.com/go/Ar48YDcR
382,Anonymous,5,09/01/16,First of many pairs. Length and width. Happy with how they look too. It's nice to know that they're fairtrade and great for the environment.,Fits true to size,On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
383,Anonymous,5,08/30/16,Down to Earth,"Love these shoes, first pair lasted about 5yrs. Great casual shoe, feel close to the earth. Well recommended.",On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
384,Rachael,5,08/30/16,An essential to any wardrobe,"The top of the heels were a little hard when I first wore them (probably cause I often wear half a size up), but once broken in they're a super comfy pair of kicks. A practical shoe that makes a difference - I couldn't be prouder to wear them.",On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
385,Mark C.,5,08/28/16,Good fit and good material,Great hoodie that hasn't faded after a couple of washes.,On Unisex Black Hoodie Organic Fairtrade,https://yotpo.com/go/m6oiIX9D
386,Anonymous,5,08/18/16,Many reasons to feel great!,The shoes are made from good material and feel comfortable to wear. Happy to know that no animals were harmed and that someone got a fair deal for their work!,On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
387,Matt,5,08/17/16,They stand for something and they last,"Great sizing, comfortable and made to last. My last pair are still going strong after a year and a half!
But, most importantly, they were ethically produced.",On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
388,Matt,5,08/17/16,"Great quality, nice cut!","A comfortable, nicely cut t-shirt that holds its colour! They are made to last, so you won't be disappointed with your purchase.",On Tshirt Unisex Blank Black Organic Fairtrade,https://yotpo.com/go/b2deHDK4
389,Jsladden,5,08/15/16,Well made sneakers!,"This is my second pair of Etiko low-cuts - the first lasted me at least as long as similar-priced low-cuts from far less ethical companies. This time I got a size smaller, and while they were quite snug at first, they're now even more comfortable than the larger pair were. Great shoes!",On Sneakers Lowcuts Red Organic Fairtrade,https://yotpo.com/go/oepHMeX5
390,Graeme D.,5,06/10/16,comfy t,tee is really good quality and very comfortable,On Tshirt Unisex Blank Charcoal Organic Fairtrade,https://yotpo.com/go/8HnGND0c
391,Graeme D.,5,06/10/16,comfy t,tee is really good quality and very comfortable,On Tshirt Unisex Blank Charcoal Organic Fairtrade,https://yotpo.com/go/8HnGND0c
392,Morg,5,05/11/16,Very happy!! Definitely - and have - recommend!!,"I bought these sneakers recently, but wanted to wear them a bit before a wrote my review. I am very happy with this product. They are well made and fit very well. They are comfortable - even when worn all day. They look great, and sooo nice to be actually able to afford ethical clothing at a reasonable price.
Thank you, Etiko!",On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
393,Morg,5,05/11/16,Very happy!! Definitely - and have - recommend!!,"I bought these sneakers recently, but wanted to wear them a bit before a wrote my review. I am very happy with this product. They are well made and fit very well. They are comfortable - even when worn all day. They look great, and sooo nice to be actually able to afford ethical clothing at a reasonable price.
Thank you, Etiko!",On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
394,Dano,5,04/09/16,All day Comfort!,These have to be the best pair of jocks I've ever owned. They are super comfy and wash really well.,On Trunks Peacock Organic Fairtrade,https://yotpo.com/go/g7PzzVMh
395,Carolita M.,5,03/11/16,Feels Good Inside & Out!,"I feel good knowing I'm doing my part as a responsible consumer & looks good on my feet ;) The fit is exactly as expected too. Yay!
Tx for being an ethical company! Kudos!",On Sneakers Hitops Black & White Organic Fairtrade,https://yotpo.com/go/6HBqlVxL
396,Carolita M.,5,03/11/16,Feels Good Inside & Out!,"Feels good knowing I'm doing my part as a responsible consumer & looks good on my feet :P The fit is as expected too!
Tx for being an ethical co. Kudos!",On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
397,T,5,03/10/16,Love!,"So comfy, true to size, great quality underwear, very reasonable price for fairtrade! Love!",On Bikini Black Organic Fairtrade,https://yotpo.com/go/a49Ti7pz
398,T,5,03/10/16,Great!,"Love the shoes, true to size, good quality, look awesome and really reasonable price for fairtrade!",On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
399,T,5,03/10/16,Love,"Absolutely love! these are a great fit, so comfy, good quality",On Boyshort Black Organic Fairtrade,https://yotpo.com/go/2MXux39m
400,Liv,5,02/12/16,simply awesome,"You can see that there was so much love put in these pair of shoes. I bought these sneakers, because they`re vegan and also wanted to support good people spreading an important message. They`re definitely different and I`m sure they will walk with me for a while. Thank you, Etiko!",On Sneakers Hitops Olive Organic Fairtrade,https://yotpo.com/go/8ynHBGi1
401,Anonymous,4,12/15/16,A classic rebuilt fairly,This is a classic looking shoe. It is well constructed and as comfortable as it's competitors. It is stylish and was delivered promptly.,On Sneakers Hitops Blue Organic Fairtrade,https://yotpo.com/go/6na2xRJL
402,Keighan M.,4,12/07/16,hoodie reveiw,Love the quality of the hoodie. Would like to buy one with large Etiko logo on the back.,On Unisex Hoodie Zipped Black Organic Fairtrade,https://yotpo.com/go/emyRyJaV
403,Anonymous,4,12/06/16,"nice slipper, super ethical, buy too wide for me","The shoe itself is probably average to good, but the fact that it is fair trade, organic and it's profits go to a good cause makes it just awesome. I ordered size 7 and I would say it runs a bit large (wide), but with socks it may be ok. As I have quite slim heels I unfortunately slip out of them with the heel. So I need to return. Although I feel...Read More
Read more about review stating nice slipper, super ethical, buy too wide for me",On Gideon Canvas Slipper - Navy Organic Fairtrade,https://yotpo.com/go/yqxt7wYG
404,Anonymous,4,12/06/16,love them,Really comfortable would recommend them to others,On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
405,Yvonne,4,11/17/16,Simple but versatile tee,"I love the feel of the fabric and the cut is great for the most part. It's a bit on the long side but better too long than too short, I suppose!",On Tshirt Women's Blank White Organic Fairtrade,https://yotpo.com/go/agzcZtx7
406,Yvonne,4,11/17/16,Comfy and versatile tee,"I love the feel of the fabric and the cut is great for the most part. It's a bit on the long side but better too long than too short, I suppose!",On Tshirt Women's Blank Black Organic Fairtrade,https://yotpo.com/go/aw6cwHkP
407,Anonymous,4,11/15/16,Fairtrade Plain T-Shirt,"Feels great, fits well, length could be a little shorter.",On Tshirt Women's Blank Grey Organic Fairtrade,https://yotpo.com/go/8svtAk95
408,Anonymous,4,10/04/16,comfy,Comfy and ethical,On Natural Rubber Thongs - Wilderness Society,https://yotpo.com/go/mK6Jn6d7
409,Pip,4,09/25/16,"Great value, great look","""These sneakers look the part, cost a fraction of labelled sneakers, and are super comfy. Aiming to get them in a few colours. Fit really well. If you're a half size fitting normally, go up to the next size.
These sneakers look the part, cost a fraction of labelled sneakers, and are super comfy. Aiming to get them in a few colours. Fit really...Read More
Read more about review stating Great value, great look",On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
410,Anonymous,4,09/14/16,Comfy,Love that it fits well (got a size 12) and the elastic is not too tight.,On Boyshort Heather Grey Organic Fairtrade,https://yotpo.com/go/xy5mdh47
411,Ethan,4,07/10/16,Great thongs!,"They are very comfy, fit well and I am loving wearing them around the house on hot days. Good to know they are great for the environment too.",On Natural Rubber Thongs For Good 2 Pack,https://yotpo.com/go/pqHH9OOO
412,Alanna,3,06/17/19,great ethos,These were very comfortable when I first bought them but after a couple of months of wearing them the rubber sole started to get very thin,On Natural Rubber Thongs - Mimih Spirits,https://yotpo.com/go/byBkKbp9
413,Anonymous,3,12/06/16,Very small sizing,I Love this shirt BUT the XL is too small for me,On Tshirt Women's Wear No Evil Black Organic Fairtrade,https://yotpo.com/go/5k4tcRsJ
414,Giuliana,3,09/09/16,not much give,"I would go a half size bigger, as the shoe is snug. Also the ""tongue"" isn't very wide, and i have to wiggle it around quite a bit after I have put the shoes on to straighten it up.sometimes it doesn't cover my foot properly.
I do have a wide foot so perhaps the shoes are better suited to more narrow feet.
This being said, the fabric is l...Read More
Read more about review stating not much give",On Sneakers Hitops Olive Organic Fairtrade,https://yotpo.com/go/8ynHBGi1
