,userid,stars,date,review_head,review,product,product_link
294,Lachterberg,5,10/18/19,Surprisingly light,I was a bit worried that these might be very heavy but they are surprisingly light for the solid made sneakers that they are. No glue residue and great Stichwort! I have no doubt that they will last me a good while if I treat the well :),On Etiko Hemp Sneakers All Black,https://yotpo.com/go/kcWnWUsa
295,Sim,5,09/03/19,so comfy,"This hoodie is great quality, I want to wear mine every day. Had it about 3 months now and still very happy. Fell in love with it the moment it arrived.
For women considering buying this: My clothing size is Aus women's 8-10, and I bought a small cause I knew I would want to hear the hoodie over a few other layers. It fits great. Plenty of roo...Read More
Read more about review stating so comfy",On Unisex Black Hoodie Organic Fairtrade,https://yotpo.com/go/m6oiIX9D
296,Karri F.,5,08/11/19,Great quality,A really good length. Washes so well and a nice cotton. Husband loves all his etiko tees.,On Unisex Bear Black Tshirt Organic Fairtrade,https://yotpo.com/go/6VPlP3lB
297,Sue,5,08/06/19,Comfortable +++,"I bought these one half size larger than normal as my usual size was sold out, but it was no problem as they fit well with some wriggle room. Very comfortable, look good, and the most ethical shoes you can buy!",On Sneakers Lowcuts Red Organic Fairtrade,https://yotpo.com/go/oepHMeX5
298,Jessica,5,07/11/19,Awesome shoes,"So not only were the staff really nice and accommodating to my confusion buying from the US, but the shoes are AWESOME! My go to was Converse but this time around I wanted to try researching better brands. I was nervous about the size trying to estimate as best as I could from the size guide but they fit perfectly and they have arch support! Somet...Read More
Read more about review stating Awesome shoes",On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
299,Chante_cm11,5,06/14/19,Favourite shoes,"Having had them now for a year and almost always wearing them! I would highly recommend Erika. Not only are your supporting Australian brand but you are doing good by buying a pair of shoes made with love and care for the world!
If I wasn’t a minimalist I’d buy all the shoes!!
Seriously love them - thank you!!",On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
300,ARO,5,05/28/19,Clean Material,I wore this several times to work now and it's my fave classic T by far. No sweat patches or sticking to the body of any sort. Size was perfect. Thank you,On Womens Black Organic Fairtrade Tee,https://yotpo.com/go/zsKPGyGi
301,Nick,5,05/04/19,Amazing,"So happy with these shoes. Not only comfortable and really well made, also amazing looking and ethical... Love these shoes. Well done Etiko.",On Sneakers Lowcuts All Black Organic Fairtrade,https://yotpo.com/go/e5u1bBgq
302,Sam H.,5,04/22/19,Great shirt,"Sturdy fabric, super comfy, and after months the printing is still good as new. One of my favourite shirts. Only problem is that one guy at work asked if it was a red hot chilli peppers shirt - I was slightly offended because I have taste, and this shirt is much better than that",On Tshirt Women's Wear No Evil Black Organic Fairtrade,https://yotpo.com/go/5k4tcRsJ
303,Susanne,5,03/29/19,Best undies I've ever worn!,"These are super comfortable, I love to wear them. They don't ride up at all, coverage is perfect, they still look brand new after several washes, and the visibility underneath pants is minimal. I'm buying more.","On Boyleg, Pink, Organic & Fairtrade",https://yotpo.com/go/xaBU7QEg
304,Jennifer,5,03/15/19,Comfiest undies ever.,I love the boyleg design. They last well too.,"On Boyleg, Black, Organic & Fairtrade",https://yotpo.com/go/pRc4ddkR
305,Leah N.,5,02/26/19,So comfy!,"I love these shoes, super comfortable and supportive - easy to wear all day!",On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
306,Arthur,5,02/05/19,Still the best,Extremely comfy. Hard-wearing. The cotton-elastane material is nice and thick with the right amount of stretch. Highly recommended. (Haven't had a repeat of the waistband issues I mentioned in 2017 — I reckon that was a problem on my end.),"On Trunks, Black, Organic & Fairtrade",https://yotpo.com/go/6ni3rAwz
307,Sara,5,01/22/19,Feels great!,"I was hesitant about ordering this item, being used to European sizing and unsure what the correct size was for me but I decided to take my chances and I'm so glad I did. The shirt fits perfect. It is the softest shirt I have ever owned. And it feels good to know that it was ethically produced. Thanks Etiko for existing.
P.S. I am size 36/Sma...Read More
Read more about review stating Feels great!",On Womens Black Long Sleeve Organic Fairtrade Tee,https://yotpo.com/go/gaCr8bkS
308,Phoebe B.,5,01/16/19,Great thongs,"I bought four pairs of Etiko thongs in various colours, and gave the red pair to mum. She won't shut up about how good they are. She's always been a havaiana wearer, but she is now converted.",On Natural Rubber Thongs - Animals Australia,https://yotpo.com/go/a4APm7JX
309,Phoebe B.,5,01/10/19,My partner loves these undies!,"I always buy tradie underwear, as they have been the most durable so far. But the Etiko undies are even better, and my partner tells me they are the most comfortable he has ever worn. True to size and the elastic band is sturdy, can't fault!","On Trunks, Heather Grey, Organic & Fairtrade",https://yotpo.com/go/1dWQC2y0
310,Phoebe B.,5,01/10/19,Best thongs!,They are easily the most comfortable thongs I have ever worn. The natural rubber is soft and I don't get any rubbing like I do with some name brand thongs. I bought a pair for mum too and she loves them,On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
311,Jacquie,5,01/06/19,Great,"These are great. They wash well, haven't lost colour, and you know they're ethically made! Would definitely recommend.","On Bikini, Black, Organic & Fairtrade",https://yotpo.com/go/pql9EKnE
312,Berit,5,01/02/19,Love them so much!,I just spent 2 weeks in these things wearing them everyday on holidays and absolutely love them. They are super soft and comfy and I love the colour too.,On Natural Rubber Thongs - Mimih Spirits,https://yotpo.com/go/byBkKbp9
313,joanna,5,12/14/18,Best Gift Idea Ever!,"I have a niece that is very compassionate. She always talks about how much she loves the environment and to travel! After I got her this gift card she was so excited to learn about Etiko's values! Etiko made me look cool, and I love that hehe",On Gift Card,https://yotpo.com/go/gVDgKHvR
314,Annabelle W.,5,12/06/18,The comfiest shirt I own,I've had this shirt for a couple months now and it is the most comfortable shirt I own. The fabric feels fantastic and I'll definitely be getting my plain tees from here in the future.,On Womens Black Organic Fairtrade Tee,https://yotpo.com/go/zsKPGyGi
315,Phoebe B.,5,12/05/18,Great underwear,"You can tell they are made from quality material, the only suggestion I have is if you are in between sizes like I am (I fluctuate between 8-10), then go the larger size. I chose 10 and they are a snug fit, which is good. 8 would have been uncomfortably small. I will definitely be ordering more! Love them","On Bikini, Black, Organic & Fairtrade",https://yotpo.com/go/pql9EKnE
316,Phoebe B.,5,12/05/18,Best t-shirt!,"I always struggle to find nice fitting t-shirts, that are also good quality. This shirt is great! It fits well, is super comfy and the print is nice too. Love it!",On Womens White Zoo Hair Print Organic Fairtrade Tee,https://yotpo.com/go/u1NuCQhp
317,Annabelle W.,5,11/24/18,Great shoes!,"I've had these fit about 2 years and theyre still in great nick. Much more comfortable than converse with a wider foot and arch support.
My only issue has been a bit of yellowish discoloration from the glue but not very noticeable.",On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
318,Maria D.,5,11/19/18,Beautiful quality!,"Great quality and fit, gorgeous soft cotton and an awesome print! Love it ☺️",On Womens White Zoo Hair Print Organic Fairtrade Tee,https://yotpo.com/go/u1NuCQhp
319,Sarah M.,5,11/16/18,Best Vegan Shoes On The Market,I love my etiko hitops. Literally the best shoe I have owned. Plus its so ethically made! Thanks Etiko!,On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
320,Stuart B.,4,07/17/19,pretty good.,"Generally happy with these. Very comfortable and hard wearing but like Arthur the waist band has lost it's elastic and ' buckled '. Had a couple of pairs for about three years now. Always cold washed and sun dried. On the plus side, i often wear them while cycling and they've stood up to the usual seat wear as well a being organic etc.","On Trunks, Black, Organic & Fairtrade",https://yotpo.com/go/6ni3rAwz
321,Erin,4,03/26/19,Great quality!,A little looser than expected but the material is great quality and it seems to be holding shape really well. Would definitely buy again :),On Womens White V-Neck Organic Fairtrade Tee,https://yotpo.com/go/tr59U34Q
322,Tiana,4,03/08/19,Women's Leggings,The material is a bit thin but apart from that I love them!,On Women's Leggings Full Length Black,https://yotpo.com/go/mXuRYnAQ
323,Amy,4,03/06/19,Comfy,"These sneakers are very comfy and have a little arch support, which is nice. They are easy to put on and just what I was after. But they are slightly too big for my size 5 feet (I purchased the UK size 3 which is the smallest size and apparently equivalent to AUS size 5). This means I will have to wear them with socks (which is fine) and had to pu...Read More
Read more about review stating Comfy",On Etiko Slip On Black & White,https://yotpo.com/go/j1nhEsU2
324,bob,4,09/18/18,"Good shirt, but a little narrow","This is a great shirt - good quality, takes a long time for the colour to fade, washes and wears well. The only negative thing I have to say is that the shirt is narrow towards the bottom of the shirt, especially if your stomach sticks out like mine. If that is true for you, order a size up.",On Tshirt Women's Blank Black Organic Fairtrade,https://yotpo.com/go/aw6cwHkP
325,Haydon W.,3,04/30/19,"Love them, but could be better quality","Brought these shoes 8 or so months ago and the sole on one has a large split around the edge and the other is starting to. It's a shame because I really like the shoes and the ethics around it, but can't afford to be buying another pair every 6-12months when I can just as much life out if a Kmart pair for a fraction of the price.",On Sneakers Lowcuts Blue Organic Fairtrade,https://yotpo.com/go/3wiA163w
326,D,2,09/07/18,"Sadly, didn't love up to expectations","Very comfy, look great, love the ethics of the manufacturer.
BUT - only lasted about 6 months before crumbling and wearing through the fabric at the heel. (Not worse than many other brands, but given the enviro credentials of etiko I would hope that they can make a shoe that lasts)",On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
327,Chris S.,5,02/16/19,Great quality,"Obviously, these shoes meet the humanitarian and animaltarian characteristics advertised, so my confirmation is that these shoes are well-made and comfortable.",On Sneakers Lowcuts Olive Organic Fairtrade,https://yotpo.com/go/4oSJGORR
328,Kirstyn S.,5,06/14/18,"WONDERFUL: Fair trade, organic cotton and So comfy and warm","What a wonderful alternative to polyester hoodies/sweat tops. ITS FAIR TRADE, the quality is wonderful. The organic cotton is fluffy on the inside, just like polys but natural, no nasty chemicals and so much softer. The cuffs and waist band are thick and wonderfully snug. And it is oh so warm. I got a size XXS since I usually take a size 8-10 and ...Read More
Read more about review stating WONDERFUL: Fair trade, organic cotton and So comfy and warm",On Unisex Navy Hoodie Organic Fairtrade,https://yotpo.com/go/305daoe1
329,Josh P.,5,07/25/17,Fantastic quality!,"I've had a pair of these for about 2 months now, they've been perfect. Fantastic quality at a great price for ethical clothing, I'll definitely be getting another pair as soon as my current ones are worn out, which shouldn't be for a while :)",On Sneakers Lowcuts Black & White Organic Fairtrade,https://yotpo.com/go/ojS308ZV
330,Matt H.,5,04/27/17,The most durable thongs I have owned (but sadly still not strong enough to stand up to a German shepherd!),"I was gifted a pair of these thongs several years ago and expected them to only last a few months as most thongs do. They were comfortable to were and I clocked up hundreds of kilometers in them before my dog decided to give them a real test one day when I left him home alone! The take home message - these thongs are great and its even better know...Read More
Read more about review stating The most durable thongs I have owned (but sadly still not strong enough to stand up to a German shepherd!)",On Natural Rubber Thongs - Free the Bears,https://yotpo.com/go/sN41iCQc
331,Thesshanth V.,5,04/19/17,Fu ting Ho,Dese shoe are very nice,On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
332,Anna,5,03/01/17,Fairtrade Ball Bag,Well made robust bag. Exactly what my sons needed. Thank you.,On Fairtrade Ball Bag (1 ball),https://yotpo.com/go/3tjpplfb
333,Kiefer M.,5,12/29/16,Love It!,Great value! Great quality!,On Tshirt Unisex Gorilla on Bike Red Organic Fairtrade,https://yotpo.com/go/iY8QA0zr
334,Anonymous,5,12/28/16,"Great shape, price and ethics",Nice fabric. It's a bit longer than the average Tee-shirt so I don't have to worry about accidentally flashing the plumbers crack.,On Tshirt Unisex Blank Black Organic Fairtrade,https://yotpo.com/go/b2deHDK4
335,Anonymous,5,12/28/16,I'm converted!,"Soft, comfy and well-fitted. Stocking up!",On Boyshort Black Organic Fairtrade,https://yotpo.com/go/2MXux39m
336,Anonymous,5,12/26/16,Great fit,"Really comfy, great fit, really soft. One of the few boyshort styles that doesn't ride up!",On Boyshort Black Organic Fairtrade,https://yotpo.com/go/2MXux39m
337,Anonymous,5,12/26/16,Happy customer,"Excellent quality, with a great, comfy fit. I was also impressed by the delivery time: I ordered after hours on a Monday, and it was delivered to my Melbourne metro address on the Wednesday.
I would be even happier if there could be other colours to choose from...",On Unisex Black Hoodie Organic Fairtrade,https://yotpo.com/go/m6oiIX9D
